human_geneid,human_EnsemblID,human_Symbol,human_type_of_gene,human_description,mouse_EnsemblID,mouse_geneid,mouse_Symbol
362,ENSG00000161798,AQP5,protein-coding,aquaporin 5,ENSMUSG00000044217,11830,Aqp5
363,ENSG00000086159,AQP6,protein-coding,aquaporin 6,ENSMUSG00000043144,11831,Aqp6
364,ENSG00000165269,AQP7,protein-coding,aquaporin 7,ENSMUSG00000028427,11832,Aqp7
366,ENSG00000103569,AQP9,protein-coding,aquaporin 9,ENSMUSG00000032204,64008,Aqp9
367,ENSG00000169083,AR,protein-coding,androgen receptor,ENSMUSG00000046532,11835,Ar
368,ENSG00000091262,ABCC6,protein-coding,ATP binding cassette subfamily C member 6,ENSMUSG00000030834,27421,Abcc6
369,ENSG00000078061,ARAF,protein-coding,"A-Raf proto-oncogene, serine/threonine kinase",ENSMUSG00000001127,11836,Araf
372,ENSG00000095139,ARCN1,protein-coding,archain 1,ENSMUSG00000032096,213827,Arcn1
373,ENSG00000113595,TRIM23,protein-coding,tripartite motif containing 23,ENSMUSG00000021712,81003,Trim23
374,ENSG00000109321,AREG,protein-coding,amphiregulin,ENSMUSG00000029378,11839,Areg
375,ENSG00000143761,ARF1,protein-coding,ADP ribosylation factor 1,ENSMUSG00000048076,11840,Arf1
377,ENSG00000134287,ARF3,protein-coding,ADP ribosylation factor 3,ENSMUSG00000051853,11842,Arf3
378,ENSG00000168374,ARF4,protein-coding,ADP ribosylation factor 4,ENSMUSG00000021877,11843,Arf4
379,ENSG00000175906,ARL4D,protein-coding,ADP ribosylation factor like GTPase 4D,ENSMUSG00000034936,80981,Arl4d
381,ENSG00000004059,ARF5,protein-coding,ADP ribosylation factor 5,ENSMUSG00000020440,11844,Arf5
382,ENSG00000165527,ARF6,protein-coding,ADP ribosylation factor 6,ENSMUSG00000044147,11845,Arf6
383,ENSG00000118520,ARG1,protein-coding,arginase 1,ENSMUSG00000019987,11846,Arg1
384,ENSG00000081181,ARG2,protein-coding,arginase 2,ENSMUSG00000021125,11847,Arg2
387,ENSG00000067560,RHOA,protein-coding,ras homolog family member A,ENSMUSG00000007815,11848,Rhoa
388,ENSG00000143878,RHOB,protein-coding,ras homolog family member B,ENSMUSG00000054364,11852,Rhob
389,ENSG00000155366,RHOC,protein-coding,ras homolog family member C,ENSMUSG00000002233,11853,Rhoc
390,ENSG00000115963,RND3,protein-coding,Rho family GTPase 3,ENSMUSG00000017144,74194,Rnd3
391,ENSG00000177105,RHOG,protein-coding,ras homolog family member G,ENSMUSG00000073982,56212,Rhog
392,ENSG00000175220,ARHGAP1,protein-coding,Rho GTPase activating protein 1,ENSMUSG00000027247,228359,Arhgap1
393,ENSG00000089820,ARHGAP4,protein-coding,Rho GTPase activating protein 4,ENSMUSG00000031389,171207,Arhgap4
394,ENSG00000100852,ARHGAP5,protein-coding,Rho GTPase activating protein 5,ENSMUSG00000035133,11855,Arhgap5
395,ENSG00000047648,ARHGAP6,protein-coding,Rho GTPase activating protein 6,ENSMUSG00000031355,11856,Arhgap6
396,ENSG00000141522,ARHGDIA,protein-coding,Rho GDP dissociation inhibitor alpha,ENSMUSG00000025132,192662,Arhgdia
397,ENSG00000111348,ARHGDIB,protein-coding,Rho GDP dissociation inhibitor beta,ENSMUSG00000030220,11857,Arhgdib
398,ENSG00000242173,ARHGDIG,protein-coding,Rho GDP dissociation inhibitor gamma,ENSMUSG00000073433,14570,Arhgdig
399,ENSG00000168421,RHOH,protein-coding,ras homolog family member H,ENSMUSG00000029204,74734,Rhoh
400,ENSG00000120805,ARL1,protein-coding,ADP ribosylation factor like GTPase 1,ENSMUSG00000060904,104303,Arl1
401,ENSG00000165462,PHOX2A,protein-coding,paired like homeobox 2A,ENSMUSG00000007946,11859,Phox2a
402,ENSG00000213465,ARL2,protein-coding,ADP ribosylation factor like GTPase 2,ENSMUSG00000024944,56327,Arl2
403,ENSG00000138175,ARL3,protein-coding,ADP ribosylation factor like GTPase 3,ENSMUSG00000025035,56350,Arl3
405,ENSG00000143437,ARNT,protein-coding,aryl hydrocarbon receptor nuclear translocator,ENSMUSG00000015522,11863,Arnt
406,ENSG00000133794,BMAL1,protein-coding,basic helix-loop-helix ARNT like 1,ENSMUSG00000055116,11865,Bmal1
407,ENSG00000120500,ARR3,protein-coding,arrestin 3,ENSMUSG00000060890,170735,Arr3
408,ENSG00000137486,ARRB1,protein-coding,arrestin beta 1,ENSMUSG00000018909,109689,Arrb1
409,ENSG00000141480,ARRB2,protein-coding,arrestin beta 2,ENSMUSG00000060216,216869,Arrb2
410,ENSG00000100299,ARSA,protein-coding,arylsulfatase A,ENSMUSG00000022620,11883,Arsa
411,ENSG00000113273,ARSB,protein-coding,arylsulfatase B,ENSMUSG00000042082,11881,Arsb
412,ENSG00000101846,STS,protein-coding,steroid sulfatase,NA,20905,Sts
414,ENSG00000006756,ARSD,protein-coding,arylsulfatase D,NA,NA,NA
415,ENSG00000157399,ARSL,protein-coding,arylsulfatase L,NA,NA,NA
416,ENSG00000062096,ARSF,protein-coding,arylsulfatase F,NA,NA,NA
417,ENSG00000129744,ART1,protein-coding,ADP-ribosyltransferase 1,ENSMUSG00000030996,11870,Art1
419,ENSG00000156219,ART3,protein-coding,ADP-ribosyltransferase 3 (inactive),ENSMUSG00000034842,109979,Art3
420,ENSG00000111339,ART4,protein-coding,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group),ENSMUSG00000030217,109978,Art4
421,ENSG00000099889,ARVCF,protein-coding,ARVCF delta catenin family member,ENSMUSG00000118669,11877,Arvcf
427,ENSG00000104763,ASAH1,protein-coding,N-acylsphingosine amidohydrolase 1,ENSMUSG00000031591,11886,Asah1
429,ENSG00000139352,ASCL1,protein-coding,achaete-scute family bHLH transcription factor 1,ENSMUSG00000020052,17172,Ascl1
430,ENSG00000183734,ASCL2,protein-coding,achaete-scute family bHLH transcription factor 2,ENSMUSG00000009248,17173,Ascl2
432,ENSG00000141505,ASGR1,protein-coding,asialoglycoprotein receptor 1,NA,NA,NA
433,ENSG00000161944,ASGR2,protein-coding,asialoglycoprotein receptor 2,ENSMUSG00000040963,11890,Asgr2
434,ENSG00000101440,ASIP,protein-coding,agouti signaling protein,ENSMUSG00000027596,50518,a
435,ENSG00000126522,ASL,protein-coding,argininosuccinate lyase,ENSMUSG00000025533,109900,Asl
438,ENSG00000196433,ASMT,protein-coding,acetylserotonin O-methyltransferase,ENSMUSG00000093806,107626,Asmt
439,ENSG00000198356,GET3,protein-coding,"guided entry of tail-anchored proteins factor 3, ATPase",ENSMUSG00000052456,56495,Get3
440,ENSG00000070669,ASNS,protein-coding,asparagine synthetase (glutamine-hydrolyzing),ENSMUSG00000029752,27053,Asns
443,ENSG00000108381,ASPA,protein-coding,aspartoacylase,ENSMUSG00000020774,11484,Aspa
444,ENSG00000198363,ASPH,protein-coding,aspartate beta-hydroxylase,ENSMUSG00000028207,65973,Asph
445,ENSG00000130707,ASS1,protein-coding,argininosuccinate synthase 1,ENSMUSG00000076441,11898,Ass1
460,ENSG00000152092,ASTN1,protein-coding,astrotactin 1,ENSMUSG00000026587,11899,Astn1
462,ENSG00000117601,SERPINC1,protein-coding,serpin family C member 1,ENSMUSG00000026715,11905,Serpinc1
463,ENSG00000140836,ZFHX3,protein-coding,zinc finger homeobox 3,ENSMUSG00000038872,11906,Zfhx3
466,ENSG00000123268,ATF1,protein-coding,activating transcription factor 1,ENSMUSG00000023027,11908,Atf1
467,ENSG00000162772,ATF3,protein-coding,activating transcription factor 3,ENSMUSG00000026628,11910,Atf3
468,ENSG00000128272,ATF4,protein-coding,activating transcription factor 4,ENSMUSG00000042406,11911,Atf4
471,ENSG00000138363,ATIC,protein-coding,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,ENSMUSG00000026192,108147,Atic
472,ENSG00000149311,ATM,protein-coding,ATM serine/threonine kinase,ENSMUSG00000034218,11920,Atm
473,ENSG00000142599,RERE,protein-coding,arginine-glutamic acid dipeptide repeats,ENSMUSG00000039852,68703,Rere
474,ENSG00000172238,ATOH1,protein-coding,atonal bHLH transcription factor 1,ENSMUSG00000073043,11921,Atoh1
475,ENSG00000177556,ATOX1,protein-coding,antioxidant 1 copper chaperone,ENSMUSG00000018585,11927,Atox1
476,ENSG00000163399,ATP1A1,protein-coding,ATPase Na+/K+ transporting subunit alpha 1,ENSMUSG00000033161,11928,Atp1a1
477,ENSG00000018625,ATP1A2,protein-coding,ATPase Na+/K+ transporting subunit alpha 2,NA,NA,NA
478,ENSG00000105409,ATP1A3,protein-coding,ATPase Na+/K+ transporting subunit alpha 3,ENSMUSG00000040907,232975,Atp1a3
479,ENSG00000075673,ATP12A,protein-coding,ATPase H+/K+ transporting non-gastric alpha2 subunit,ENSMUSG00000022229,192113,Atp12a
480,ENSG00000132681,ATP1A4,protein-coding,ATPase Na+/K+ transporting subunit alpha 4,ENSMUSG00000007107,27222,Atp1a4
481,ENSG00000143153,ATP1B1,protein-coding,ATPase Na+/K+ transporting subunit beta 1,ENSMUSG00000026576,11931,Atp1b1
482,ENSG00000129244,ATP1B2,protein-coding,ATPase Na+/K+ transporting subunit beta 2,ENSMUSG00000041329,11932,Atp1b2
483,ENSG00000069849,ATP1B3,protein-coding,ATPase Na+/K+ transporting subunit beta 3,ENSMUSG00000032412,11933,Atp1b3
486,ENSG00000137731,FXYD2,protein-coding,FXYD domain containing ion transport regulator 2,ENSMUSG00000059412,11936,Fxyd2
487,ENSG00000196296,ATP2A1,protein-coding,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,ENSMUSG00000030730,11937,Atp2a1
488,ENSG00000174437,ATP2A2,protein-coding,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,ENSMUSG00000029467,11938,Atp2a2
489,ENSG00000074370,ATP2A3,protein-coding,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,ENSMUSG00000020788,53313,Atp2a3
490,ENSG00000070961,ATP2B1,protein-coding,ATPase plasma membrane Ca2+ transporting 1,ENSMUSG00000019943,67972,Atp2b1
491,ENSG00000157087,ATP2B2,protein-coding,ATPase plasma membrane Ca2+ transporting 2,ENSMUSG00000030302,11941,Atp2b2
492,ENSG00000067842,ATP2B3,protein-coding,ATPase plasma membrane Ca2+ transporting 3,ENSMUSG00000031376,320707,Atp2b3
493,ENSG00000058668,ATP2B4,protein-coding,ATPase plasma membrane Ca2+ transporting 4,ENSMUSG00000026463,381290,Atp2b4
495,ENSG00000105675,ATP4A,protein-coding,ATPase H+/K+ transporting subunit alpha,ENSMUSG00000005553,11944,Atp4a
496,ENSG00000186009,ATP4B,protein-coding,ATPase H+/K+ transporting subunit beta,ENSMUSG00000031449,11945,Atp4b
498,ENSG00000152234,ATP5F1A,protein-coding,ATP synthase F1 subunit alpha,ENSMUSG00000025428,11946,Atp5f1a
501,ENSG00000164904,ALDH7A1,protein-coding,aldehyde dehydrogenase 7 family member A1,ENSMUSG00000053644,110695,Aldh7a1
506,ENSG00000110955,ATP5F1B,protein-coding,ATP synthase F1 subunit beta,ENSMUSG00000025393,11947,Atp5f1b
509,ENSG00000165629,ATP5F1C,protein-coding,ATP synthase F1 subunit gamma,ENSMUSG00000025781,11949,Atp5f1c
513,ENSG00000099624,ATP5F1D,protein-coding,ATP synthase F1 subunit delta,ENSMUSG00000003072,66043,Atp5f1d
514,ENSG00000124172,ATP5F1E,protein-coding,ATP synthase F1 subunit epsilon,ENSMUSG00000016252,67126,Atp5f1e
515,ENSG00000116459,ATP5PB,protein-coding,ATP synthase peripheral stalk-membrane subunit b,ENSMUSG00000000563,11950,Atp5pb
516,ENSG00000159199,ATP5MC1,protein-coding,ATP synthase membrane subunit c locus 1,ENSMUSG00000006057,11951,Atp5mc1
517,ENSG00000135390,ATP5MC2,protein-coding,ATP synthase membrane subunit c locus 2,ENSMUSG00000062683,67942,Atp5mc2
518,ENSG00000154518,ATP5MC3,protein-coding,ATP synthase membrane subunit c locus 3,ENSMUSG00000018770,228033,Atp5mc3
521,ENSG00000169020,ATP5ME,protein-coding,ATP synthase membrane subunit e,ENSMUSG00000050856,11958,Atp5me
522,ENSG00000154723,ATP5PF,protein-coding,ATP synthase peripheral stalk subunit F6,ENSMUSG00000022890,11957,Atp5pf
523,ENSG00000114573,ATP6V1A,protein-coding,ATPase H+ transporting V1 subunit A,ENSMUSG00000052459,11964,Atp6v1a
525,ENSG00000116039,ATP6V1B1,protein-coding,ATPase H+ transporting V1 subunit B1,ENSMUSG00000006269,110935,Atp6v1b1
526,ENSG00000147416,ATP6V1B2,protein-coding,ATPase H+ transporting V1 subunit B2,ENSMUSG00000006273,11966,Atp6v1b2
527,ENSG00000185883,ATP6V0C,protein-coding,ATPase H+ transporting V0 subunit c,ENSMUSG00000024121,11984,Atp6v0c
528,ENSG00000155097,ATP6V1C1,protein-coding,ATPase H+ transporting V1 subunit C1,ENSMUSG00000022295,66335,Atp6v1c1
529,ENSG00000131100,ATP6V1E1,protein-coding,ATPase H+ transporting V1 subunit E1,ENSMUSG00000019210,11973,Atp6v1e1
533,ENSG00000117410,ATP6V0B,protein-coding,ATPase H+ transporting V0 subunit b,ENSMUSG00000033379,114143,Atp6v0b
534,ENSG00000213760,ATP6V1G2,protein-coding,ATPase H+ transporting V1 subunit G2,ENSMUSG00000024403,66237,Atp6v1g2
535,ENSG00000033627,ATP6V0A1,protein-coding,ATPase H+ transporting V0 subunit a1,ENSMUSG00000019302,11975,Atp6v0a1
537,ENSG00000071553,ATP6AP1,protein-coding,ATPase H+ transporting accessory protein 1,ENSMUSG00000019087,54411,Atp6ap1
538,ENSG00000165240,ATP7A,protein-coding,ATPase copper transporting alpha,ENSMUSG00000033792,11977,Atp7a
539,ENSG00000241837,ATP5PO,protein-coding,ATP synthase peripheral stalk subunit OSCP,ENSMUSG00000022956,28080,Atp5po
540,ENSG00000123191,ATP7B,protein-coding,ATPase copper transporting beta,ENSMUSG00000006567,11979,Atp7b
545,ENSG00000175054,ATR,protein-coding,ATR serine/threonine kinase,ENSMUSG00000032409,245000,Atr
546,ENSG00000085224,ATRX,protein-coding,ATRX chromatin remodeler,ENSMUSG00000031229,22589,Atrx
547,ENSG00000130294,KIF1A,protein-coding,kinesin family member 1A,ENSMUSG00000014602,16560,Kif1a
549,ENSG00000148090,AUH,protein-coding,AU RNA binding methylglutaconyl-CoA hydratase,ENSMUSG00000021460,11992,Auh
550,ENSG00000115307,AUP1,protein-coding,AUP1 lipid droplet regulating VLDL assembly factor,ENSMUSG00000068328,11993,Aup1
551,ENSG00000101200,AVP,protein-coding,arginine vasopressin,ENSMUSG00000037727,11998,Avp
552,ENSG00000166148,AVPR1A,protein-coding,arginine vasopressin receptor 1A,ENSMUSG00000020123,54140,Avpr1a
553,ENSG00000198049,AVPR1B,protein-coding,arginine vasopressin receptor 1B,ENSMUSG00000026432,26361,Avpr1b
554,ENSG00000126895,AVPR2,protein-coding,arginine vasopressin receptor 2,ENSMUSG00000031390,12000,Avpr2
558,ENSG00000167601,AXL,protein-coding,AXL receptor tyrosine kinase,ENSMUSG00000002602,26362,Axl
563,ENSG00000160862,AZGP1,protein-coding,"alpha-2-glycoprotein 1, zinc-binding",ENSMUSG00000037053,12007,Azgp1
566,ENSG00000172232,AZU1,protein-coding,azurocidin 1,NA,NA,NA
567,ENSG00000166710,B2M,protein-coding,beta-2-microglobulin,ENSMUSG00000060802,12010,B2m
570,ENSG00000136881,BAAT,protein-coding,bile acid-CoA:amino acid N-acyltransferase,ENSMUSG00000039653,12012,Baat
571,ENSG00000156273,BACH1,protein-coding,BTB domain and CNC homolog 1,ENSMUSG00000025612,12013,Bach1
572,ENSG00000002330,BAD,protein-coding,BCL2 associated agonist of cell death,ENSMUSG00000024959,12015,Bad
573,ENSG00000107262,BAG1,protein-coding,BAG cochaperone 1,ENSMUSG00000028416,12017,Bag1
575,ENSG00000181790,ADGRB1,protein-coding,adhesion G protein-coupled receptor B1,ENSMUSG00000034730,107831,Adgrb1
576,ENSG00000121753,ADGRB2,protein-coding,adhesion G protein-coupled receptor B2,ENSMUSG00000028782,230775,Adgrb2
577,ENSG00000135298,ADGRB3,protein-coding,adhesion G protein-coupled receptor B3,ENSMUSG00000033569,210933,Adgrb3
578,ENSG00000030110,BAK1,protein-coding,BCL2 antagonist/killer 1,ENSMUSG00000057789,12018,Bak1
579,ENSG00000109705,NKX3-2,protein-coding,NK3 homeobox 2,ENSMUSG00000049691,12020,Nkx3-2
580,ENSG00000138376,BARD1,protein-coding,BRCA1 associated RING domain 1,ENSMUSG00000026196,12021,Bard1
581,ENSG00000087088,BAX,protein-coding,"BCL2 associated X, apoptosis regulator",ENSMUSG00000003873,12028,Bax
582,ENSG00000174483,BBS1,protein-coding,Bardet-Biedl syndrome 1,ENSMUSG00000006464,52028,Bbs1
583,ENSG00000125124,BBS2,protein-coding,Bardet-Biedl syndrome 2,ENSMUSG00000031755,67378,Bbs2
585,ENSG00000140463,BBS4,protein-coding,Bardet-Biedl syndrome 4,ENSMUSG00000025235,102774,Bbs4
586,ENSG00000060982,BCAT1,protein-coding,branched chain amino acid transaminase 1,ENSMUSG00000030268,12035,Bcat1
587,ENSG00000105552,BCAT2,protein-coding,branched chain amino acid transaminase 2,ENSMUSG00000030826,12036,Bcat2
590,ENSG00000114200,BCHE,protein-coding,butyrylcholinesterase,ENSMUSG00000027792,12038,Bche
593,ENSG00000248098,BCKDHA,protein-coding,branched chain keto acid dehydrogenase E1 subunit alpha,ENSMUSG00000060376,12039,Bckdha
594,ENSG00000083123,BCKDHB,protein-coding,branched chain keto acid dehydrogenase E1 subunit beta,ENSMUSG00000032263,12040,Bckdhb
595,ENSG00000110092,CCND1,protein-coding,cyclin D1,ENSMUSG00000070348,12443,Ccnd1
596,ENSG00000171791,BCL2,protein-coding,BCL2 apoptosis regulator,ENSMUSG00000057329,12043,Bcl2
597,ENSG00000140379,BCL2A1,protein-coding,BCL2 related protein A1,NA,NA,NA
598,ENSG00000171552,BCL2L1,protein-coding,BCL2 like 1,ENSMUSG00000007659,12048,Bcl2l1
602,ENSG00000069399,BCL3,protein-coding,BCL3 transcription coactivator,ENSMUSG00000053175,12051,Bcl3
604,ENSG00000113916,BCL6,protein-coding,BCL6 transcription repressor,ENSMUSG00000022508,12053,Bcl6
605,ENSG00000110987,BCL7A,protein-coding,BAF chromatin remodeling complex subunit BCL7A,ENSMUSG00000029438,77045,Bcl7a
607,ENSG00000116128,BCL9,protein-coding,BCL9 transcription coactivator,ENSMUSG00000038256,77578,Bcl9
608,ENSG00000048462,TNFRSF17,protein-coding,TNF receptor superfamily member 17,ENSMUSG00000022496,21935,Tnfrsf17
610,ENSG00000099822,HCN2,protein-coding,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,ENSMUSG00000020331,15166,Hcn2
611,ENSG00000128617,OPN1SW,protein-coding,"opsin 1, short wave sensitive",ENSMUSG00000058831,12057,Opn1sw
613,ENSG00000186716,BCR,protein-coding,BCR activator of RhoGEF and GTPase,ENSMUSG00000009681,110279,Bcr
617,ENSG00000074582,BCS1L,protein-coding,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",ENSMUSG00000026172,66821,Bcs1l
622,ENSG00000161267,BDH1,protein-coding,3-hydroxybutyrate dehydrogenase 1,ENSMUSG00000046598,71911,Bdh1
623,ENSG00000100739,BDKRB1,protein-coding,bradykinin receptor B1,ENSMUSG00000041347,12061,Bdkrb1
624,ENSG00000168398,BDKRB2,protein-coding,bradykinin receptor B2,ENSMUSG00000021070,12062,Bdkrb2
627,ENSG00000176697,BDNF,protein-coding,brain derived neurotrophic factor,ENSMUSG00000048482,12064,Bdnf
629,ENSG00000243649,CFB,protein-coding,complement factor B,ENSMUSG00000090231,14962,Cfb
631,ENSG00000125864,BFSP1,protein-coding,beaded filament structural protein 1,ENSMUSG00000027420,12075,Bfsp1
632,ENSG00000242252,BGLAP,protein-coding,bone gamma-carboxyglutamate protein,ENSMUSG00000074483,12096,Bglap
633,ENSG00000182492,BGN,protein-coding,biglycan,ENSMUSG00000031375,12111,Bgn
634,ENSG00000079385,CEACAM1,protein-coding,CEA cell adhesion molecule 1,NA,NA,NA
635,ENSG00000145692,BHMT,protein-coding,betaine--homocysteine S-methyltransferase,ENSMUSG00000074768,12116,Bhmt
636,ENSG00000151746,BICD1,protein-coding,BICD cargo adaptor 1,ENSMUSG00000003452,12121,Bicd1
637,ENSG00000015475,BID,protein-coding,BH3 interacting domain death agonist,ENSMUSG00000004446,12122,Bid
638,ENSG00000100290,BIK,protein-coding,BCL2 interacting killer,ENSMUSG00000016758,12124,Bik
639,ENSG00000057657,PRDM1,protein-coding,PR/SET domain 1,ENSMUSG00000038151,12142,Prdm1
640,ENSG00000136573,BLK,protein-coding,"BLK proto-oncogene, Src family tyrosine kinase",ENSMUSG00000014453,12143,Blk
641,ENSG00000197299,BLM,protein-coding,BLM RecQ like helicase,ENSMUSG00000030528,12144,Blm
642,ENSG00000108578,BLMH,protein-coding,bleomycin hydrolase,ENSMUSG00000020840,104184,Blmh
643,ENSG00000160683,CXCR5,protein-coding,C-X-C motif chemokine receptor 5,ENSMUSG00000047880,12145,Cxcr5
644,ENSG00000106605,BLVRA,protein-coding,biliverdin reductase A,ENSMUSG00000001999,109778,Blvra
645,ENSG00000090013,BLVRB,protein-coding,biliverdin reductase B,ENSMUSG00000040466,233016,Blvrb
646,ENSG00000169594,BNC1,protein-coding,basonuclin zinc finger protein 1,ENSMUSG00000025105,12173,Bnc1
648,ENSG00000168283,BMI1,protein-coding,"BMI1 proto-oncogene, polycomb ring finger",ENSMUSG00000026739,12151,Bmi1
649,ENSG00000168487,BMP1,protein-coding,bone morphogenetic protein 1,ENSMUSG00000022098,12153,Bmp1
650,ENSG00000125845,BMP2,protein-coding,bone morphogenetic protein 2,ENSMUSG00000027358,12156,Bmp2
651,ENSG00000152785,BMP3,protein-coding,bone morphogenetic protein 3,ENSMUSG00000029335,110075,Bmp3
652,ENSG00000125378,BMP4,protein-coding,bone morphogenetic protein 4,ENSMUSG00000021835,12159,Bmp4
653,ENSG00000112175,BMP5,protein-coding,bone morphogenetic protein 5,ENSMUSG00000032179,12160,Bmp5
654,ENSG00000153162,BMP6,protein-coding,bone morphogenetic protein 6,ENSMUSG00000039004,12161,Bmp6
655,ENSG00000101144,BMP7,protein-coding,bone morphogenetic protein 7,ENSMUSG00000008999,12162,Bmp7
656,ENSG00000116985,BMP8B,protein-coding,bone morphogenetic protein 8b,ENSMUSG00000002384,12164,Bmp8b
657,ENSG00000107779,BMPR1A,protein-coding,bone morphogenetic protein receptor type 1A,ENSMUSG00000021796,12166,Bmpr1a
658,ENSG00000138696,BMPR1B,protein-coding,bone morphogenetic protein receptor type 1B,ENSMUSG00000052430,12167,Bmpr1b
659,ENSG00000204217,BMPR2,protein-coding,bone morphogenetic protein receptor type 2,ENSMUSG00000067336,12168,Bmpr2
660,ENSG00000102010,BMX,protein-coding,BMX non-receptor tyrosine kinase,ENSMUSG00000031377,12169,Bmx
661,ENSG00000168495,POLR3D,protein-coding,RNA polymerase III subunit D,ENSMUSG00000000776,67065,Polr3d
